section,category,word,sentence
Review of Related Studies,self_mentions,I,I intentionally ask every new student intake to write a critique essay on a published article that discusses learning barriers in the Saudi context after permission sought from the author.
Review of Related Studies,self_mentions,we,"Corpus approach is empirically based and provides an opportunity to test assumptions about language use against patterns found in naturally occurring discourse and then to review our pedagogical practices accordingly (Biber et al., 1994, p. 171)."
Review of Related Studies,self_mentions,the researcher,The focus of the current study is on the linguistic resources advanced EFL student-writers employ to articulate stance while they are still in the early stages of their preparation process to join authors community.
Research Questions,hedges,may,"However, there are many factors that might form a barrier to the learning process."
Research Questions,hedges,might,"However, there are many factors that might form a barrier to the learning process."
Research Questions,hedges,may,This may lead the reader to misunderstand the meaning.
Research Questions,hedges,should,A major problem that should have been considered by Author …
Research Questions,hedges,could,"As a Saudi student, I could easily agree or disagree with some points of this research paper."
Research Questions,hedges,general,"In general, the research is not organized."
Research Questions,hedges,think,I think that the use of the word “most” in some of the points without adding statistics is not persuasive.
Research Questions,hedges,argues,The researcher argues that the outcomes of English education are unsatisfying due to late exposure to English language.
Research Questions,hedges,assume,We obviously assume this is a matter of limitation.
Research Questions,hedges,seem,Most of these reasons seem to be reasonable.
Research Questions,hedges,potential,Such potential in the postgraduate students to hedge even though they were not explicitly taught to do so should be encouraged and refined in order to help them meet the expectations of experienced academic writing community.
Research Questions,hedges,possible,"Explicit training should include the range of various possible resources to express hedging such as evidential verbs, mental process verbs, approximative adverbs and downtoners and minimizers."
Research Questions,boosters,clearly,The data clearly show that most of the linguistic resources used by the participants in their critique essays are modal verbs.
Research Questions,boosters,obviously,We obviously assume this is a matter of limitation.
Research Questions,attitude_markers,problem,A major problem that should have been considered by Author …
Research Questions,attitude_markers,persuasive,I think that the use of the word “most” in some of the points without adding statistics is not persuasive.
Research Questions,attitude_markers,unsatisfying,The researcher argues that the outcomes of English education are unsatisfying due to late exposure to English language.
Research Questions,attitude_markers,reasonable,Most of these reasons seem to be reasonable.
Research Questions,attitude_markers,encouraged,Such potential in the postgraduate students to hedge even though they were not explicitly taught to do so should be encouraged and refined in order to help them meet the expectations of experienced academic writing community.
Research Questions,self_mentions,I,"As a Saudi student, I could easily agree or disagree with some points of this research paper."
Research Questions,self_mentions,I,I think that the use of the word “most” in some of the points without adding statistics is not persuasive.
Research Questions,self_mentions,researcher,The researcher argues that the outcomes of English education are unsatisfying due to late exposure to English language.
Research Questions,self_mentions,We,We obviously assume this is a matter of limitation.
Research Questions,self_mentions,I,I would prefer the usage of the word “challenges”.
Research Method,boosters,may,The results of this study do not corroborate this finding.
Research Method,boosters,very,The intensifier “very” tops the list of boosters followed by other words which may not be listed among the most common boosters that are used by experienced academic writers to express stance.
Research Method,boosters,a lot,He [the author] circulates some ideas a lot.
Research Method,boosters,accurate,The information provided in the article is accurate.
Research Method,boosters,strong,The article is strong in its structure and topic.
Research Method,boosters,clearly,I think the author clearly conveyed his ideas.
Research Method,boosters,believe,I believe this article does not add much regarding teaching in Saudi Arabia.
Research Method,boosters,much,I believe this article does not add much regarding teaching in Saudi Arabia.
Research Method,boosters,much-needed,"In conclusion, this is a much-needed paper with an important message."
Research Method,boosters,quite,"Overall, I find this article quite informative."
Research Method,attitude_markers,important,"In conclusion, this is a much-needed paper with an important message."
Research Method,self_mentions,this study,Table 2 below shows the top ten booster markers as used by the student-writers in this study.
Research Method,self_mentions,this study,The results of this study do not corroborate this finding.
Research Method,self_mentions,participants,More hedges were used by the participants although they can be considered as developing academic writers because they are still in the first year of their Master studies.
Research Method,self_mentions,I,I think the author clearly conveyed his ideas.
Research Method,self_mentions,I,I believe this article does not add much regarding teaching in Saudi Arabia.
Research Method,self_mentions,I,"Overall, I find this article quite informative."
Data Analysis,boosters,substantially,The study found that both males and females displayed substantially less use of boosters than hedges.
Data Analysis,boosters,clearly,They clearly inform the readers about the authors’ point of view and their positions towards academic texts.
Data Analysis,attitude_markers,important,Important
Data Analysis,attitude_markers,Agree,Agree
Data Analysis,attitude_markers,Only,Only
Data Analysis,attitude_markers,Fail,Fail
Data Analysis,attitude_markers,Good,Good
Data Analysis,attitude_markers,Main,Main
Data Analysis,attitude_markers,Great,Great
Data Analysis,attitude_markers,Disagree,Disagree
Data Analysis,attitude_markers,Significant,Significant
Data Analysis,attitude_markers,Useful,Useful
Data Analysis,attitude_markers,important,"Words like important, agree, good, great, significant, appropriate, and so on are used to assist writers to convey their evaluation and personal attitude towards propositions in the text that was critiqued."
Data Analysis,attitude_markers,agree,"Words like important, agree, good, great, significant, appropriate, and so on are used to assist writers to convey their evaluation and personal attitude towards propositions in the text that was critiqued."
Data Analysis,attitude_markers,good,"Words like important, agree, good, great, significant, appropriate, and so on are used to assist writers to convey their evaluation and personal attitude towards propositions in the text that was critiqued."
Data Analysis,attitude_markers,great,"Words like important, agree, good, great, significant, appropriate, and so on are used to assist writers to convey their evaluation and personal attitude towards propositions in the text that was critiqued."
Data Analysis,attitude_markers,significant,"Words like important, agree, good, great, significant, appropriate, and so on are used to assist writers to convey their evaluation and personal attitude towards propositions in the text that was critiqued."
Data Analysis,attitude_markers,important,Dr. Author’s article shows very important facts regarding language learning in Saudi Arabia.
Data Analysis,attitude_markers,agree,I do agree to a certain extent with him on the difficulties that Saudi students face.
Data Analysis,attitude_markers,only,He depended only on his experience of teaching.
Data Analysis,attitude_markers,fails,Dr. Author fails to show evidence to support his claim.
Data Analysis,attitude_markers,good,"Overall, this article is good."
Data Analysis,attitude_markers,main,This is the main idea of the author’s article.
Data Analysis,attitude_markers,great,Dr. Author has made a great effort to figure out the obstacles which prevent Saudi students from learning.
Data Analysis,self_mentions,I,"To maintain consistency in data analysis, I have selected the top ten attitude markers as they appeared in the corpus."
Data Analysis,self_mentions,I,I do agree to a certain extent with him on the difficulties that Saudi students face.
Hedges,hedges,could,"As a Saudi student, I could easily agree or disagree with some points of this research paper."
Hedges,hedges,might,This weakness might be attributed to writing in a foreign language setting as well as lack of explicit instruction of the different types of linguistic resources that can be used to express authorial stance.
Hedges,boosters,easily,"As a Saudi student, I could easily agree or disagree with some points of this research paper."
Hedges,boosters,significant,The information shown in the article is significant and cover almost all aspects causing learning barriers in the Saudi society.
Hedges,boosters,very,This article is very useful.
Hedges,boosters,Very,Very few verbs and adverbs are used to express the student-authors attitude towards the propositional content of text.
Hedges,boosters,explicit,This weakness might be attributed to writing in a foreign language setting as well as lack of explicit instruction of the different types of linguistic resources that can be used to express authorial stance.
Hedges,boosters,Any,Any explicit training on stance markers should take these categories into consideration.
Hedges,boosters,explicit,Any explicit training on stance markers should take these categories into consideration.
Hedges,boosters,significant,They play a significant role in communicating with the audiences and constructing authorial identity.
Hedges,boosters,frequently,"In the present corpus, the writers used these linguistic markers frequently as demonstrated in Table 4 below."
Hedges,boosters,careful,"Based on my careful reading of the author’s research paper, I believe that the given information is not up to date."
Hedges,boosters,not up to date,"Based on my careful reading of the author’s research paper, I believe that the given information is not up to date."
Hedges,boosters,cannot,We cannot say that the author argued logically.
Hedges,boosters,cannot,We cannot say that most of the adult learners in Saudi Arabia have no childcare responsibilities.
Hedges,boosters,huge,"In my point of view, I believe that one of the huge weaknesses in the article is that the researcher was biased."
Hedges,boosters,biased,"In my point of view, I believe that one of the huge weaknesses in the article is that the researcher was biased."
Hedges,boosters,positive,My feedback and reaction is positive toward the author’s ideas and I support them.
Hedges,boosters,common,Barriers that act like obstacles on the way of learning are very common and can be seen in our day-to-day teaching activities.
Hedges,boosters,very,Barriers that act like obstacles on the way of learning are very common and can be seen in our day-to-day teaching activities.
Hedges,boosters,agree,I agree with this point because we see these difficulties in our daily lives whether in school or in street.
Hedges,boosters,difficulties,I agree with this point because we see these difficulties in our daily lives whether in school or in street.
Hedges,boosters,experienced,The title of the research attracted me but I experienced difficulties while working on this research specifically when I was trying to find out the thesis statement.
Hedges,boosters,difficulties,The title of the research attracted me but I experienced difficulties while working on this research specifically when I was trying to find out the thesis statement.
Hedges,boosters,great,"This made me think about the reasons, and I believe it will be a great contribution if any scholar investigated this field."
Hedges,boosters,any,"This made me think about the reasons, and I believe it will be a great contribution if any scholar investigated this field."
Hedges,attitude_markers,useful,This article is very useful.
Hedges,attitude_markers,weakness,This weakness might be attributed to writing in a foreign language setting as well as lack of explicit instruction of the different types of linguistic resources that can be used to express authorial stance.
Hedges,attitude_markers,weakness,"In my point of view, I believe that one of the huge weaknesses in the article is that the researcher was biased."
Hedges,attitude_markers,positive,My feedback and reaction is positive toward the author’s ideas and I support them.
Hedges,attitude_markers,difficulties,I agree with this point because we see these difficulties in our daily lives whether in school or in street.
Hedges,attitude_markers,difficulties,The title of the research attracted me but I experienced difficulties while working on this research specifically when I was trying to find out the thesis statement.
Hedges,attitude_markers,contribution,"This made me think about the reasons, and I believe it will be a great contribution if any scholar investigated this field."
Hedges,self_mentions,I,"As a Saudi student, I could easily agree or disagree with some points of this research paper."
Hedges,self_mentions,I,I will begin to critique this article by objectively summarizing the text.
Hedges,self_mentions,my,"Based on my careful reading of the author’s research paper, I believe that the given information is not up to date."
Hedges,self_mentions,I,"Based on my careful reading of the author’s research paper, I believe that the given information is not up to date."
Hedges,self_mentions,We,We cannot say that the author argued logically.
Hedges,self_mentions,We,We cannot say that most of the adult learners in Saudi Arabia have no childcare responsibilities.
Hedges,self_mentions,my,"In my point of view, I believe that one of the huge weaknesses in the article is that the researcher was biased."
Hedges,self_mentions,I,"In my point of view, I believe that one of the huge weaknesses in the article is that the researcher was biased."
Hedges,self_mentions,my,My feedback and reaction is positive toward the author’s ideas and I support them.
Hedges,self_mentions,I,My feedback and reaction is positive toward the author’s ideas and I support them.
Hedges,self_mentions,our,Barriers that act like obstacles on the way of learning are very common and can be seen in our day-to-day teaching activities.
Hedges,self_mentions,I,I agree with this point because we see these difficulties in our daily lives whether in school or in street.
Hedges,self_mentions,we,I agree with this point because we see these difficulties in our daily lives whether in school or in street.
Hedges,self_mentions,our,I agree with this point because we see these difficulties in our daily lives whether in school or in street.
Hedges,self_mentions,I,The title of the research attracted me but I experienced difficulties while working on this research specifically when I was trying to find out the thesis statement.
Hedges,self_mentions,me,The title of the research attracted me but I experienced difficulties while working on this research specifically when I was trying to find out the thesis statement.
Hedges,self_mentions,I,The title of the research attracted me but I experienced difficulties while working on this research specifically when I was trying to find out the thesis statement.
Hedges,self_mentions,me,"This made me think about the reasons, and I believe it will be a great contribution if any scholar investigated this field."
Hedges,self_mentions,I,"This made me think about the reasons, and I believe it will be a great contribution if any scholar investigated this field."
Research Findings and Discussion,hedges,may,We may infer from the above self-mention examples that the first-person pronouns and possessive adjectives in their singular and plural forms have relatively different functions in this corpus.
Research Findings and Discussion,hedges,may,"Due to inadequate linguistic knowledge, novice writers may “select a strategy which they believe conveys a socially appropriate illocution but which actually carries an inappropriate degree of directness,"
Research Findings and Discussion,boosters,clearly,"The examples 31 to 40 demonstrate clearly that the academic writers in this study have instilled their voice into their claims, positions, and interactions with the text and their audience."
Research Findings and Discussion,boosters,completely,(13) I completely disagree with the author because as a Saudi English student at KKU I had four courses concerned with listening and speaking.
Research Findings and Discussion,boosters,strongly,"(14) I strongly disagree with the false connection between the family’s poor educational background, salaries, and children’s weak educational progress."
Research Findings and Discussion,boosters,only,(12) The writer did not succeed in covering all the barriers. He only discussed some problems from his point of view.
Research Findings and Discussion,attitude_markers,importance,"the use of self-mention strategy 580 times implies that even novice writers can reflect their identity as insiders (Alharbi, 2020) and are aware of the importance of protecting themselves in their texts and that “[a]cademic writing is not just about conveying an ideational content, it is also about the representation of self ” (Hyland & Nelson, 2002, p. 1091; Yazılarda et al., 2017)."
Research Findings and Discussion,attitude_markers,Unfortunately,"Unfortunately, they are not taught how authorial stance should be articulated constructively."
Research Findings and Discussion,attitude_markers,problematic,"Although some student-writers in this study demonstrated their ability to articulate stance through boosters, hedges, attitude markers and self-mentions, substantial instances of stance-expressing statements seemed to be problematic in the sense that they may deviate from the conventions of expressing authorial stance in the academic writing community."
Research Findings and Discussion,attitude_markers,fallacy,(11) Another fallacy is when the writer said that Saudi students practice English only in classes which is a hasty generalization.
Research Findings and Discussion,attitude_markers,hasty generalization,(11) Another fallacy is when the writer said that Saudi students practice English only in classes which is a hasty generalization.
Research Findings and Discussion,attitude_markers,disagree,(13) I completely disagree with the author because as a Saudi English student at KKU I had four courses concerned with listening and speaking.
Research Findings and Discussion,attitude_markers,disagree,"(14) I strongly disagree with the false connection between the family’s poor educational background, salaries, and children’s weak educational progress."
Research Findings and Discussion,attitude_markers,trust,(15) I do not trust the accuracy of the information that he has mentioned about Saudi community.
Research Findings and Discussion,attitude_markers,accuracy,"The use of phrases like “fallacy, hasty generalization, completely disagree, accuracy of the information” seem to be a result of transfer of training as such expressions are found in the course textbook."
Research Findings and Discussion,self_mentions,their,"The examples 31 to 40 demonstrate clearly that the academic writers in this study have instilled their voice into their claims, positions, and interactions with the text and their audience."
Research Findings and Discussion,self_mentions,their,"Although they expressed their views against using self-mention in academic writing as will be shown below, the use of self-mention strategy 580 times implies that even novice writers can reflect their identity as insiders (Alharbi, 2020) and are aware of the importance of protecting themselves in their texts and that “[a]cademic writing is not just about conveying an ideational content, it is also about the representation of self ” (Hyland & Nelson, 2002, p. 1091; Yazılarda et al., 2017)."
Research Findings and Discussion,self_mentions,the researcher,We may infer from the above self-mention examples that the first-person pronouns and possessive adjectives in their singular and plural forms have relatively different functions in this corpus.
Research Findings and Discussion,self_mentions,We,We may infer from the above self-mention examples that the first-person pronouns and possessive adjectives in their singular and plural forms have relatively different functions in this corpus.
Research Findings and Discussion,self_mentions,their,"The first person singular pronoun “I”, the possessive adjective “my” and the object pronoun “me” straightforwardly articulate the writer’s epistemic and attitudinal stance towards other authors’ propositions, whereas, the first person plural pronoun “we” and the possessive adjective “our” as demonstrated in instances 33, 34, and 37 are reader-oriented and perform the function of bringing the reader to the discussion for persuasive purposes in order to construct a writer-reader dialogue (Hyland, 2001)."
Research Findings and Discussion,self_mentions,writer’s,"The first person singular pronoun “I”, the possessive adjective “my” and the object pronoun “me” straightforwardly articulate the writer’s epistemic and attitudinal stance towards other authors’ propositions, whereas, the first person plural pronoun “we” and the possessive adjective “our” as demonstrated in instances 33, 34, and 37 are reader-oriented and perform the function of bringing the reader to the discussion for persuasive purposes in order to construct a writer-reader dialogue (Hyland, 2001)."
Research Findings and Discussion,self_mentions,I,"The first person singular pronoun “I”, the possessive adjective “my” and the object pronoun “me” straightforwardly articulate the writer’s epistemic and attitudinal stance towards other authors’ propositions, whereas, the first person plural pronoun “we” and the possessive adjective “our” as demonstrated in instances 33, 34, and 37 are reader-oriented and perform the function of bringing the reader to the discussion for persuasive purposes in order to construct a writer-reader dialogue (Hyland, 2001)."
Research Findings and Discussion,self_mentions,my,"The first person singular pronoun “I”, the possessive adjective “my” and the object pronoun “me” straightforwardly articulate the writer’s epistemic and attitudinal stance towards other authors’ propositions, whereas, the first person plural pronoun “we” and the possessive adjective “our” as demonstrated in instances 33, 34, and 37 are reader-oriented and perform the function of bringing the reader to the discussion for persuasive purposes in order to construct a writer-reader dialogue (Hyland, 2001)."
Research Findings and Discussion,self_mentions,me,"The first person singular pronoun “I”, the possessive adjective “my” and the object pronoun “me” straightforwardly articulate the writer’s epistemic and attitudinal stance towards other authors’ propositions, whereas, the first person plural pronoun “we” and the possessive adjective “our” as demonstrated in instances 33, 34, and 37 are reader-oriented and perform the function of bringing the reader to the discussion for persuasive purposes in order to construct a writer-reader dialogue (Hyland, 2001)."
Research Findings and Discussion,self_mentions,we,"The first person singular pronoun “I”, the possessive adjective “my” and the object pronoun “me” straightforwardly articulate the writer’s epistemic and attitudinal stance towards other authors’ propositions, whereas, the first person plural pronoun “we” and the possessive adjective “our” as demonstrated in instances 33, 34, and 37 are reader-oriented and perform the function of bringing the reader to the discussion for persuasive purposes in order to construct a writer-reader dialogue (Hyland, 2001)."
Research Findings and Discussion,self_mentions,our,"The first person singular pronoun “I”, the possessive adjective “my” and the object pronoun “me” straightforwardly articulate the writer’s epistemic and attitudinal stance towards other authors’ propositions, whereas, the first person plural pronoun “we” and the possessive adjective “our” as demonstrated in instances 33, 34, and 37 are reader-oriented and perform the function of bringing the reader to the discussion for persuasive purposes in order to construct a writer-reader dialogue (Hyland, 2001)."
Research Findings and Discussion,self_mentions,their,"Although some student-writers in this study demonstrated their ability to articulate stance through boosters, hedges, attitude markers and self-mentions, substantial instances of stance-expressing statements seemed to be problematic in the sense that they may deviate from the conventions of expressing authorial stance in the academic writing community."
Research Findings and Discussion,self_mentions,their,"To confirm this potential divergence this divergence, Bahrami et al. (2018, p. 70) noted that “in soft disciplines, [like applied linguistics], novice writers often fail to keep a fine balance between being humble (i.e., acknowledging others‟ perspectives) and authoritative (i.e., expressing [their] own interpretations and points of view directly) and this has led to failure in publication in many cases.”"
Research Findings and Discussion,self_mentions,their,Below are selective examples of such problematic usages as they occurred in the present study’s corpus.
Research Findings and Discussion,self_mentions,writer,(11) Another fallacy is when the writer said that Saudi students practice English only in classes which is a hasty generalization.
Research Findings and Discussion,self_mentions,writer,(12) The writer did not succeed in covering all the barriers. He only discussed some problems from his point of view.
Research Findings and Discussion,self_mentions,his,(12) The writer did not succeed in covering all the barriers. He only discussed some problems from his point of view.
Research Findings and Discussion,self_mentions,I,(13) I completely disagree with the author because as a Saudi English student at KKU I had four courses concerned with listening and speaking.
Research Findings and Discussion,self_mentions,I,(13) I completely disagree with the author because as a Saudi English student at KKU I had four courses concerned with listening and speaking.
Research Findings and Discussion,self_mentions,I,"(14) I strongly disagree with the false connection between the family’s poor educational background, salaries, and children’s weak educational progress."
Research Findings and Discussion,self_mentions,I,(15) I do not trust the accuracy of the information that he has mentioned about Saudi community.
Research Findings and Discussion,self_mentions,he,(15) I do not trust the accuracy of the information that he has mentioned about Saudi community.
Research Findings and Discussion,self_mentions,the writer,"The use of phrases like “fallacy, hasty generalization, completely disagree, accuracy of the information” seem to be a result of transfer of training as such expressions are found in the course textbook."
Research Findings and Discussion,self_mentions,the postgraduate students,"In the Advanced Academic Writing course, the postgraduate students of Applied Linguistics are taught a topic on critique writing and such phrases introduced to them in the context of how to do critical reading and what they should appraise."
Research Findings and Discussion,self_mentions,them,"In the Advanced Academic Writing course, the postgraduate students of Applied Linguistics are taught a topic on critique writing and such phrases introduced to them in the context of how to do critical reading and what they should appraise."
Research Findings and Discussion,self_mentions,authorial,"Unfortunately, they are not taught how authorial stance should be articulated constructively."
Research Findings and Discussion,self_mentions,oneself,"The consequence is that viewing oneself as an author like in the task given to the postgraduate student students in this research might have led them to be authoritative and therefore to feel they have the right to project their subjectivity into the text (Bahrami et al., 2018)."
Research Findings and Discussion,self_mentions,author,"The consequence is that viewing oneself as an author like in the task given to the postgraduate student students in this research might have led them to be authoritative and therefore to feel they have the right to project their subjectivity into the text (Bahrami et al., 2018)."
Research Findings and Discussion,self_mentions,postgraduate student students,"The consequence is that viewing oneself as an author like in the task given to the postgraduate student students in this research might have led them to be authoritative and therefore to feel they have the right to project their subjectivity into the text (Bahrami et al., 2018)."
Research Findings and Discussion,self_mentions,their,"The consequence is that viewing oneself as an author like in the task given to the postgraduate student students in this research might have led them to be authoritative and therefore to feel they have the right to project their subjectivity into the text (Bahrami et al., 2018)."
Research Findings and Discussion,self_mentions,novice writers,"Due to inadequate linguistic knowledge, novice writers may “select a strategy which they believe conveys a socially appropriate illocution but which actually carries an inappropriate degree of directness,"
Boosters,boosters,clearly,His interpretation of information also is clearly affected by his negative image of Saudi people.
Boosters,boosters,must have,He must have done a survey or a study before he made this accusation.
Boosters,boosters,certain,"I am not experienced in Arabic academic writing, but I am certain that there are boosters."
Boosters,boosters,sure,Sometimes I use them when I’m sure of the given information.
Boosters,attitude_markers,negative,His interpretation of information also is clearly affected by his negative image of Saudi people.
Boosters,attitude_markers,weak,I find this work as weak and unworthy because of the absence of sources and also because of the hasty generalizations that Author made which reduces its value.
Boosters,attitude_markers,unworthy,I find this work as weak and unworthy because of the absence of sources and also because of the hasty generalizations that Author made which reduces its value.
Boosters,attitude_markers,hasty,I find this work as weak and unworthy because of the absence of sources and also because of the hasty generalizations that Author made which reduces its value.
Boosters,attitude_markers,false,"I would not recommend this work to anyone because it is not written properly, and it based most of its argument on false information or unproven claims."
Boosters,attitude_markers,unproven,"I would not recommend this work to anyone because it is not written properly, and it based most of its argument on false information or unproven claims."
Boosters,attitude_markers,firm,"This style of critique writing as illustrated in the last example or the previous one confirms the findings of Hyland & Milton (1997, p. 193) that the academic writing of many L2 learners is characterized by firm assertions, authoritative tone, and strong writer commitments when compared with the academic discourse of native speakers."
Boosters,attitude_markers,authoritative,"This style of critique writing as illustrated in the last example or the previous one confirms the findings of Hyland & Milton (1997, p. 193) that the academic writing of many L2 learners is characterized by firm assertions, authoritative tone, and strong writer commitments when compared with the academic discourse of native speakers."
Boosters,attitude_markers,strong,"This style of critique writing as illustrated in the last example or the previous one confirms the findings of Hyland & Milton (1997, p. 193) that the academic writing of many L2 learners is characterized by firm assertions, authoritative tone, and strong writer commitments when compared with the academic discourse of native speakers."
Boosters,attitude_markers,blurred,The answers provided to these questions revealed that students’ knowledge about boosters in English and Arabic seems to quite blurred.
Boosters,self_mentions,I,I find this work as weak and unworthy because of the absence of sources and also because of the hasty generalizations that Author made which reduces its value.
Boosters,self_mentions,I,"I would not recommend this work to anyone because it is not written properly, and it based most of its argument on false information or unproven claims."
Boosters,self_mentions,I,"I am not experienced in Arabic academic writing, but I am certain that there are boosters."
Boosters,self_mentions,I,Sometimes I use them when I’m sure of the given information.
Boosters,self_mentions,I,"When it comes to Arabic, I honestly have no background, but I think the same is happening with Arabic"
Boosters,self_mentions,I,I do not have any idea about boosters!
Attitude Markers,hedges,may,The interpretation of why hedges were used more than any other stance markers can be attributed to the respondent’s tacit knowledge about the importance of hedging by novice writers.
Attitude Markers,hedges,might,"Yes, I use hedges in both English and Arabic academic writing such as “possibly, seems, looks like and it might be.”"
Attitude Markers,hedges,possibly,"Yes, I use hedges in both English and Arabic academic writing such as “possibly, seems, looks like and it might be.”"
Attitude Markers,hedges,seems,"Yes, I use hedges in both English and Arabic academic writing such as “possibly, seems, looks like and it might be.”"
Attitude Markers,boosters,do,"Yes, we do have boosters in Arabic."
Attitude Markers,boosters,do,Only eight of the twenty respondents provided examples of both Arabic and English boosters.
Attitude Markers,boosters,do,Fourteen respondents stated that they know hedges and use them;
Attitude Markers,boosters,do,"I do use them, because I believe it shows respect to the audience who may be knowledgeable and more sophisticated than me."
Attitude Markers,boosters,do,I do not know about attitude markers.
Attitude Markers,boosters,do,I do not know about attitude markers.
Attitude Markers,boosters,do,I use them.
Attitude Markers,boosters,do,I use a lot of attitude markers in my writing to express different attitudes.
Attitude Markers,boosters,do,I do not know about attitude markers.
Attitude Markers,attitude_markers,Unfortunately,"I use them. Unfortunately, x claims, argues...etc. I don’t know about Arabic academic writing."
Attitude Markers,self_mentions,I,I don't know if we have a particular term to describe them in Arabic
Attitude Markers,self_mentions,we,I don't know if we have a particular term to describe them in Arabic
Attitude Markers,self_mentions,we,"Yes, we do have boosters in Arabic."
Attitude Markers,self_mentions,I,"I do use them, because I believe it shows respect to the audience who may be knowledgeable and more sophisticated than me."
Attitude Markers,self_mentions,I,I think in argumentative writing authors should avoid hedges.
Attitude Markers,self_mentions,I,"To be honest, I am lacking in many skills of writing."
Attitude Markers,self_mentions,I,"Yes, I use hedges in both English and Arabic academic writing such as “possibly, seems, looks like and it might be.”"
Attitude Markers,self_mentions,I,I don’t know about Arabic academic writing.”
